base judge R  Y/X  θ  ,E      ,ol1   ,ol2   ,ol3   ,ol4   ,ol5   ,ol6   ,ol7   ,ol8
184 T 9.0 0.18 0.00   ,-10.32 ,-0.08 ,-0.36 ,-0.21 ,-0.47 ,0.10  ,0.27  ,-0.14 ,0.16
185 T 9.0 0.18 57.59  ,-11.03 ,-0.09 ,-0.36 ,-0.24 ,-0.41 ,0.12  ,0.30  ,-0.10 ,0.19
186 T 9.0 0.18 90.00  ,-10.33 ,-0.10 ,-0.35 ,-0.25 ,-0.38 ,0.12  ,0.30  ,-0.08 ,0.20
187 T 9.0 0.36 0.00   ,-10.33 ,-0.08 ,-0.43 ,-0.16 ,-0.54 ,0.05  ,0.18  ,-0.18 ,0.03
188 T 9.0 0.36 29.24  ,-13.47 ,-0.14 ,-0.53 ,-0.22 ,-0.46 ,0.10  ,0.26  ,-0.14 ,0.01
189 T 9.0 0.36 58.48  ,-14.81 ,-0.19 ,-0.52 ,-0.32 ,-0.29 ,0.13  ,0.33  ,-0.01 ,0.09
190 T 9.0 0.36 90.00  ,-11.44 ,-0.18 ,-0.43 ,-0.32 ,-0.21 ,0.12  ,0.31  ,0.05  ,0.16
191 T 9.0 0.58 0.00   ,-9.72  ,-0.07 ,-0.42 ,-0.10 ,-0.53 ,0.00  ,0.08  ,-0.20 ,-0.07
192 T 9.0 0.58 20.00  ,-12.45 ,-0.21 ,-0.64 ,-0.13 ,-0.03 ,0.12  ,0.17  ,-0.11 ,-0.37
193 T 9.0 0.58 40.00  ,-14.52 ,-0.26 ,-0.63 ,-0.21 ,0.16  ,0.12  ,0.19  ,0.02  ,-0.33
194 T 9.0 0.58 60.00  ,-15.43 ,-0.29 ,-0.57 ,-0.33 ,0.16  ,0.07  ,0.21  ,0.16  ,-0.12
195 T 9.0 0.58 80.00  ,-12.00 ,-0.26 ,-0.43 ,-0.34 ,0.11  ,0.02  ,0.18  ,0.22  ,0.06
196 T 9.0 0.58 90.00  ,-10.87 ,-0.25 ,-0.40 ,-0.33 ,0.11  ,0.02  ,0.17  ,0.23  ,0.08
197 T 9.0 0.84 0.00   ,-9.59  ,-0.07 ,-0.41 ,-0.08 ,-0.51 ,-0.04 ,0.01  ,-0.24 ,-0.12
198 T 9.0 0.84 15.56  ,-12.22 ,-0.20 ,-0.61 ,-0.09 ,0.08  ,0.06  ,0.05  ,-0.18 ,-0.46
199 T 9.0 0.84 31.11  ,-14.69 ,-0.24 ,-0.57 ,-0.13 ,0.32  ,0.05  ,0.04  ,-0.07 ,-0.46
200 T 9.0 0.84 46.67  ,-15.99 ,-0.29 ,-0.56 ,-0.22 ,0.39  ,-0.01 ,0.02  ,0.05  ,-0.37
201 T 9.0 0.84 62.23  ,-15.76 ,-0.33 ,-0.51 ,-0.32 ,0.39  ,-0.09 ,-0.00 ,0.20  ,-0.17
202 T 9.0 0.84 77.79  ,-12.83 ,-0.29 ,-0.38 ,-0.32 ,0.32  ,-0.14 ,-0.02 ,0.26  ,0.02
203 T 9.0 0.84 90.00  ,-10.76 ,-0.27 ,-0.33 ,-0.31 ,0.28  ,-0.14 ,-0.02 ,0.27  ,0.07
204 T 9.0 1.19 0.00   ,-9.11  ,-0.07 ,-0.38 ,-0.11 ,-0.47 ,-0.08 ,-0.03 ,-0.30 ,-0.11
205 T 9.0 1.19 13.05  ,-10.64 ,-0.10 ,-0.45 ,-0.12 ,-0.41 ,-0.08 ,-0.04 ,-0.33 ,-0.17
206 T 9.0 1.19 26.11  ,-12.04 ,-0.17 ,-0.55 ,-0.17 ,-0.19 ,-0.10 ,-0.06 ,-0.31 ,-0.27
207 T 9.0 1.19 39.16  ,-12.42 ,-0.24 ,-0.55 ,-0.23 ,0.08  ,-0.14 ,-0.10 ,-0.20 ,-0.29
208 T 9.0 1.19 52.22  ,-12.99 ,-0.28 ,-0.50 ,-0.28 ,0.25  ,-0.22 ,-0.15 ,-0.06 ,-0.19
209 T 9.0 1.19 65.27  ,-13.66 ,-0.29 ,-0.40 ,-0.31 ,0.32  ,-0.28 ,-0.18 ,0.09  ,-0.03
210 T 9.0 1.19 78.32  ,-11.60 ,-0.26 ,-0.29 ,-0.28 ,0.30  ,-0.29 ,-0.18 ,0.16  ,0.09
211 T 9.0 1.19 90.00  ,-9.87  ,-0.24 ,-0.26 ,-0.26 ,0.28  ,-0.29 ,-0.17 ,0.17  ,0.11
212 T 9.0 1.73 0.00   ,-6.88  ,-0.06 ,-0.31 ,-0.13 ,-0.37 ,-0.11 ,-0.06 ,-0.34 ,-0.06
213 T 9.0 1.73 11.55  ,-7.87  ,-0.07 ,-0.33 ,-0.14 ,-0.35 ,-0.12 ,-0.07 ,-0.35 ,-0.06
214 T 9.0 1.73 23.09  ,-9.65  ,-0.10 ,-0.36 ,-0.17 ,-0.30 ,-0.15 ,-0.10 ,-0.36 ,-0.08
215 T 9.0 1.73 34.64  ,-10.20 ,-0.14 ,-0.39 ,-0.20 ,-0.19 ,-0.21 ,-0.14 ,-0.34 ,-0.08
216 T 9.0 1.73 46.19  ,-9.92  ,-0.18 ,-0.38 ,-0.23 ,-0.04 ,-0.28 ,-0.19 ,-0.26 ,-0.04
217 T 9.0 1.73 57.74  ,-10.44 ,-0.20 ,-0.32 ,-0.25 ,0.09  ,-0.34 ,-0.23 ,-0.14 ,0.04
218 T 9.0 1.73 69.28  ,-10.47 ,-0.19 ,-0.25 ,-0.23 ,0.16  ,-0.35 ,-0.24 ,-0.04 ,0.11
219 T 9.0 1.73 80.83  ,-8.74  ,-0.17 ,-0.19 ,-0.20 ,0.18  ,-0.34 ,-0.23 ,0.02  ,0.14
220 T 9.0 1.73 90.00  ,-7.96  ,-0.17 ,-0.18 ,-0.20 ,0.18  ,-0.33 ,-0.22 ,0.03  ,0.14
221 T 9.0 2.75 0.00   ,-1.52  ,-0.04 ,-0.20 ,-0.11 ,-0.22 ,-0.12 ,-0.07 ,-0.28 ,-0.01
222 T 9.0 2.75 10.64  ,-1.90  ,-0.05 ,-0.20 ,-0.11 ,-0.22 ,-0.13 ,-0.08 ,-0.28 ,-0.00
223 T 9.0 2.75 21.28  ,-2.78  ,-0.06 ,-0.21 ,-0.12 ,-0.20 ,-0.15 ,-0.09 ,-0.29 ,0.00
224 T 9.0 2.75 31.93  ,-3.54  ,-0.07 ,-0.22 ,-0.14 ,-0.17 ,-0.19 ,-0.12 ,-0.29 ,0.02
225 T 9.0 2.75 42.57  ,-3.85  ,-0.09 ,-0.22 ,-0.16 ,-0.11 ,-0.24 ,-0.16 ,-0.26 ,0.04
226 T 9.0 2.75 53.21  ,-4.04  ,-0.11 ,-0.20 ,-0.16 ,-0.03 ,-0.28 ,-0.19 ,-0.20 ,0.08
227 T 9.0 2.75 63.85  ,-3.98  ,-0.11 ,-0.17 ,-0.15 ,0.03  ,-0.29 ,-0.19 ,-0.13 ,0.11
228 T 9.0 2.75 74.49  ,-3.27  ,-0.10 ,-0.13 ,-0.13 ,0.07  ,-0.29 ,-0.19 ,-0.08 ,0.12
229 T 9.0 2.75 85.13  ,-2.54  ,-0.10 ,-0.11 ,-0.12 ,0.09  ,-0.28 ,-0.18 ,-0.05 ,0.12
230 T 9.0 2.75 90.00  ,-2.45  ,-0.10 ,-0.11 ,-0.12 ,0.09  ,-0.28 ,-0.18 ,-0.05 ,0.12
231 T 9.0 5.67 0.00   ,7.08   ,-0.03 ,-0.12 ,-0.08 ,-0.13 ,-0.10 ,-0.06 ,-0.20 ,0.01
232 T 9.0 5.67 10.15  ,6.98   ,-0.03 ,-0.12 ,-0.08 ,-0.13 ,-0.11 ,-0.06 ,-0.20 ,0.01
233 T 9.0 5.67 20.31  ,6.71   ,-0.03 ,-0.13 ,-0.08 ,-0.12 ,-0.12 ,-0.07 ,-0.20 ,0.02
234 T 9.0 5.67 30.46  ,6.26   ,-0.04 ,-0.13 ,-0.09 ,-0.11 ,-0.15 ,-0.09 ,-0.21 ,0.03
235 T 9.0 5.67 40.62  ,5.70   ,-0.05 ,-0.13 ,-0.10 ,-0.09 ,-0.18 ,-0.11 ,-0.20 ,0.05
236 T 9.0 5.67 50.77  ,5.34   ,-0.06 ,-0.13 ,-0.10 ,-0.05 ,-0.21 ,-0.13 ,-0.17 ,0.07
237 T 9.0 5.67 60.93  ,5.52   ,-0.06 ,-0.11 ,-0.10 ,-0.01 ,-0.22 ,-0.14 ,-0.13 ,0.09
238 T 9.0 5.67 71.08  ,6.02   ,-0.06 ,-0.09 ,-0.09 ,0.02  ,-0.22 ,-0.14 ,-0.09 ,0.09
239 T 9.0 5.67 81.23  ,6.40   ,-0.06 ,-0.08 ,-0.08 ,0.04  ,-0.21 ,-0.13 ,-0.07 ,0.09
240 T 9.0 5.67 90.00  ,6.52   ,-0.06 ,-0.07 ,-0.08 ,0.04  ,-0.20 ,-0.13 ,-0.06 ,0.09
241 T 10.0 0.00 0.00  ,-5.14  ,-0.04 ,-0.26 ,-0.11 ,-0.36 ,0.04  ,0.29  ,0.04  ,0.14
242 T 10.0 0.16 0.00  ,-8.93  ,-0.05 ,-0.33 ,-0.09 ,-0.46 ,0.03  ,0.30  ,0.04  ,0.11
243 T 10.0 0.16 57.53 ,-9.78  ,-0.06 ,-0.32 ,-0.12 ,-0.40 ,0.05  ,0.35  ,0.06  ,0.15
244 T 10.0 0.16 90.00 ,-9.09  ,-0.06 ,-0.31 ,-0.13 ,-0.37 ,0.05  ,0.36  ,0.07  ,0.16
245 T 10.0 0.32 0.00  ,-9.39  ,-0.06 ,-0.41 ,-0.02 ,-0.55 ,-0.01 ,0.18  ,0.02  ,-0.03
246 T 10.0 0.32 29.12 ,-12.49 ,-0.09 ,-0.49 ,-0.05 ,-0.50 ,0.02  ,0.29  ,0.04  ,-0.02
247 T 10.0 0.32 58.25 ,-14.02 ,-0.11 ,-0.49 ,-0.15 ,-0.35 ,0.05  ,0.44  ,0.13  ,0.09
248 T 10.0 0.32 90.00 ,-10.49 ,-0.10 ,-0.39 ,-0.18 ,-0.26 ,0.04  ,0.44  ,0.17  ,0.16
249 T 10.0 0.51 0.00  ,-9.66  ,-0.05 ,-0.41 ,0.05  ,-0.54 ,-0.06 ,0.03  ,-0.01 ,-0.15
250 T 10.0 0.51 19.82 ,-11.90 ,-0.11 ,-0.61 ,0.08  ,-0.30 ,0.04  ,0.17  ,-0.03 ,-0.28
251 T 10.0 0.51 39.65 ,-13.00 ,-0.16 ,-0.66 ,0.00  ,-0.02 ,0.08  ,0.33  ,0.04  ,-0.26
252 T 10.0 0.51 59.47 ,-13.69 ,-0.17 ,-0.59 ,-0.14 ,0.04  ,0.02  ,0.42  ,0.19  ,-0.07
253 T 10.0 0.51 79.30 ,-10.89 ,-0.15 ,-0.43 ,-0.20 ,0.03  ,-0.03 ,0.39  ,0.26  ,0.10
254 T 10.0 0.51 90.00 ,-9.60  ,-0.14 ,-0.39 ,-0.20 ,0.02  ,-0.04 ,0.38  ,0.26  ,0.12
255 T 10.0 0.73 0.00  ,-9.71  ,-0.05 ,-0.40 ,0.08  ,-0.52 ,-0.09 ,-0.05 ,-0.05 ,-0.20
256 T 10.0 0.73 15.31 ,-12.40 ,-0.12 ,-0.53 ,0.16  ,0.35  ,0.14  ,0.13  ,-0.15 ,-0.42
257 T 10.0 0.73 30.62 ,-15.25 ,-0.15 ,-0.58 ,0.11  ,0.39  ,0.11  ,0.17  ,-0.11 ,-0.43
258 T 10.0 0.73 45.94 ,-15.38 ,-0.18 ,-0.61 ,-0.00 ,0.41  ,0.02  ,0.22  ,0.00  ,-0.36
259 T 10.0 0.73 61.25 ,-14.02 ,-0.20 ,-0.56 ,-0.14 ,0.38  ,-0.11 ,0.25  ,0.17  ,-0.14
260 T 10.0 0.73 76.56 ,-11.84 ,-0.18 ,-0.41 ,-0.21 ,0.28  ,-0.19 ,0.23  ,0.27  ,0.07
261 T 10.0 0.73 90.00 ,-9.34  ,-0.16 ,-0.34 ,-0.20 ,0.24  ,-0.19 ,0.21  ,0.27  ,0.12
262 T 10.0 1.00 0.00  ,-9.53  ,-0.05 ,-0.39 ,0.06  ,-0.50 ,-0.13 ,-0.09 ,-0.12 ,-0.22
263 T 10.0 1.00 12.73 ,-11.31 ,-0.09 ,-0.53 ,0.09  ,-0.36 ,-0.11 ,-0.07 ,-0.19 ,-0.33
264 T 10.0 1.00 25.46 ,-12.53 ,-0.14 ,-0.63 ,0.09  ,0.02  ,-0.07 ,-0.01 ,-0.24 ,-0.44
265 T 10.0 1.00 38.18 ,-13.58 ,-0.17 ,-0.61 ,0.02  ,0.26  ,-0.11 ,0.03  ,-0.18 ,-0.41
266 T 10.0 1.00 50.91 ,-13.10 ,-0.19 ,-0.56 ,-0.08 ,0.38  ,-0.22 ,0.03  ,-0.07 ,-0.27
267 T 10.0 1.00 63.64 ,-12.80 ,-0.20 ,-0.47 ,-0.17 ,0.41  ,-0.34 ,0.03  ,0.08  ,-0.06
268 T 10.0 1.00 76.37 ,-11.60 ,-0.17 ,-0.34 ,-0.20 ,0.35  ,-0.37 ,0.02  ,0.17  ,0.11
269 T 10.0 1.00 90.00 ,-9.03  ,-0.15 ,-0.28 ,-0.19 ,0.30  ,-0.35 ,0.01  ,0.18  ,0.16
270 T 10.0 1.38 0.00  ,-8.21  ,-0.05 ,-0.35 ,0.01  ,-0.44 ,-0.18 ,-0.12 ,-0.22 ,-0.19
271 T 10.0 1.38 11.12 ,-9.59  ,-0.06 ,-0.39 ,0.01  ,-0.42 ,-0.19 ,-0.12 ,-0.25 ,-0.21
272 T 10.0 1.38 22.25 ,-11.52 ,-0.09 ,-0.46 ,-0.00 ,-0.33 ,-0.23 ,-0.13 ,-0.30 ,-0.26
273 T 10.0 1.38 33.37 ,-11.44 ,-0.12 ,-0.50 ,-0.04 ,-0.14 ,-0.29 ,-0.13 ,-0.32 ,-0.27
274 T 10.0 1.38 44.50 ,-10.76 ,-0.14 ,-0.48 ,-0.09 ,0.05  ,-0.37 ,-0.14 ,-0.26 ,-0.19
275 T 10.0 1.38 55.62 ,-10.76 ,-0.16 ,-0.42 ,-0.15 ,0.19  ,-0.46 ,-0.15 ,-0.17 ,-0.05
276 T 10.0 1.38 66.75 ,-11.69 ,-0.15 ,-0.34 ,-0.18 ,0.26  ,-0.51 ,-0.16 ,-0.06 ,0.10
277 T 10.0 1.38 77.87 ,-10.45 ,-0.13 ,-0.25 ,-0.18 ,0.26  ,-0.49 ,-0.15 ,0.02  ,0.18
278 T 10.0 1.38 90.00 ,-8.57  ,-0.12 ,-0.21 ,-0.17 ,0.24  ,-0.46 ,-0.13 ,0.04  ,0.20
279 T 10.0 1.96 0.00  ,-5.42  ,-0.04 ,-0.26 ,-0.03 ,-0.31 ,-0.20 ,-0.12 ,-0.27 ,-0.11
280 T 10.0 1.96 10.10 ,-6.33  ,-0.04 ,-0.27 ,-0.04 ,-0.31 ,-0.22 ,-0.13 ,-0.28 ,-0.11
281 T 10.0 1.96 20.20 ,-8.23  ,-0.05 ,-0.29 ,-0.05 ,-0.28 ,-0.26 ,-0.14 ,-0.31 ,-0.11
282 T 10.0 1.96 30.30 ,-9.37  ,-0.07 ,-0.31 ,-0.07 ,-0.22 ,-0.32 ,-0.17 ,-0.33 ,-0.10
283 T 10.0 1.96 40.40 ,-9.17  ,-0.08 ,-0.32 ,-0.10 ,-0.13 ,-0.39 ,-0.19 ,-0.32 ,-0.05
284 T 10.0 1.96 50.50 ,-8.97  ,-0.10 ,-0.29 ,-0.12 ,-0.02 ,-0.46 ,-0.21 ,-0.27 ,0.02
285 T 10.0 1.96 60.61 ,-9.67  ,-0.10 ,-0.25 ,-0.14 ,0.07  ,-0.50 ,-0.22 ,-0.20 ,0.11
286 T 10.0 1.96 70.71 ,-9.69  ,-0.09 ,-0.20 ,-0.13 ,0.13  ,-0.49 ,-0.21 ,-0.13 ,0.17
287 T 10.0 1.96 80.81 ,-8.20  ,-0.08 ,-0.16 ,-0.12 ,0.14  ,-0.46 ,-0.19 ,-0.08 ,0.19
288 T 10.0 1.96 90.00 ,-7.39  ,-0.08 ,-0.15 ,-0.12 ,0.14  ,-0.44 ,-0.18 ,-0.07 ,0.20
289 T 10.0 3.08 0.00  ,-0.62  ,-0.03 ,-0.15 ,-0.04 ,-0.17 ,-0.18 ,-0.10 ,-0.23 ,-0.04
290 T 10.0 3.08 9.46  ,-0.97  ,-0.03 ,-0.15 ,-0.05 ,-0.17 ,-0.19 ,-0.10 ,-0.23 ,-0.04
291 T 10.0 3.08 18.93 ,-1.80  ,-0.03 ,-0.16 ,-0.05 ,-0.16 ,-0.21 ,-0.11 ,-0.24 ,-0.03
292 T 10.0 3.08 28.39 ,-2.64  ,-0.04 ,-0.17 ,-0.06 ,-0.14 ,-0.25 ,-0.13 ,-0.25 ,-0.01
293 T 10.0 3.08 37.85 ,-3.11  ,-0.04 ,-0.17 ,-0.07 ,-0.11 ,-0.30 ,-0.15 ,-0.25 ,0.02
294 T 10.0 3.08 47.32 ,-3.33  ,-0.05 ,-0.17 ,-0.08 ,-0.06 ,-0.34 ,-0.17 ,-0.24 ,0.06
295 T 10.0 3.08 56.78 ,-3.59  ,-0.05 ,-0.15 ,-0.09 ,-0.01 ,-0.37 ,-0.18 ,-0.20 ,0.10
296 T 10.0 3.08 66.24 ,-3.53  ,-0.05 ,-0.12 ,-0.08 ,0.03  ,-0.37 ,-0.17 ,-0.16 ,0.13
297 T 10.0 3.08 75.71 ,-2.91  ,-0.05 ,-0.10 ,-0.08 ,0.06  ,-0.35 ,-0.16 ,-0.12 ,0.14
298 T 10.0 3.08 85.17 ,-2.30  ,-0.05 ,-0.09 ,-0.07 ,0.07  ,-0.33 ,-0.15 ,-0.10 ,0.15
299 T 10.0 3.08 90.00 ,-2.21  ,-0.04 ,-0.09 ,-0.07 ,0.07  ,-0.33 ,-0.15 ,-0.10 ,0.15
300 T 10.0 6.31 0.00  ,7.50   ,-0.02 ,-0.09 ,-0.03 ,-0.09 ,-0.14 ,-0.08 ,-0.16 ,-0.01
301 T 10.0 6.31 9.11  ,7.42   ,-0.02 ,-0.09 ,-0.03 ,-0.09 ,-0.14 ,-0.08 ,-0.16 ,-0.01
302 T 10.0 6.31 18.22 ,7.21   ,-0.02 ,-0.09 ,-0.04 ,-0.09 ,-0.16 ,-0.08 ,-0.17 ,-0.00
303 T 10.0 6.31 27.34 ,6.85   ,-0.02 ,-0.09 ,-0.04 ,-0.08 ,-0.18 ,-0.09 ,-0.17 ,0.01
304 T 10.0 6.31 36.45 ,6.38   ,-0.02 ,-0.10 ,-0.05 ,-0.07 ,-0.21 ,-0.11 ,-0.18 ,0.03
305 T 10.0 6.31 45.56 ,5.89   ,-0.03 ,-0.10 ,-0.05 ,-0.05 ,-0.24 ,-0.12 ,-0.18 ,0.05
306 T 10.0 6.31 54.67 ,5.70   ,-0.03 ,-0.09 ,-0.05 ,-0.02 ,-0.26 ,-0.13 ,-0.16 ,0.08
307 T 10.0 6.31 63.79 ,5.92   ,-0.03 ,-0.08 ,-0.05 ,0.00  ,-0.26 ,-0.13 ,-0.13 ,0.09
308 T 10.0 6.31 72.90 ,6.31   ,-0.03 ,-0.07 ,-0.05 ,0.02  ,-0.25 ,-0.12 ,-0.10 ,0.10
309 T 10.0 6.31 82.01 ,6.60   ,-0.03 ,-0.06 ,-0.05 ,0.03  ,-0.24 ,-0.11 ,-0.09 ,0.10
310 T 10.0 6.31 90.00 ,6.69   ,-0.03 ,-0.06 ,-0.05 ,0.03  ,-0.23 ,-0.11 ,-0.08 ,0.10
311 T 11.0 0.00 0.00  ,-4.15  ,-0.03 ,-0.21 ,-0.03 ,-0.31 ,0.00  ,0.29  ,0.17  ,0.12
312 T 11.0 0.14 0.00  ,-7.77  ,-0.03 ,-0.27 ,0.00  ,-0.40 ,-0.01 ,0.29  ,0.20  ,0.09
313 T 11.0 0.14 57.49 ,-8.83  ,-0.04 ,-0.26 ,-0.02 ,-0.36 ,-0.00 ,0.35  ,0.21  ,0.13
314 T 11.0 0.14 90.00 ,-8.18  ,-0.04 ,-0.25 ,-0.04 ,-0.33 ,-0.00 ,0.36  ,0.21  ,0.14
315 T 11.0 0.29 0.00  ,-8.34  ,-0.04 ,-0.36 ,0.10  ,-0.51 ,-0.05 ,0.14  ,0.21  ,-0.05
316 T 11.0 0.29 29.04 ,-11.50 ,-0.05 ,-0.42 ,0.09  ,-0.49 ,-0.03 ,0.27  ,0.24  ,-0.01
317 T 11.0 0.29 58.08 ,-13.29 ,-0.07 ,-0.42 ,-0.00 ,-0.37 ,-0.01 ,0.47  ,0.30  ,0.11
318 T 11.0 0.29 90.00 ,-9.79  ,-0.06 ,-0.33 ,-0.05 ,-0.26 ,-0.02 ,0.48  ,0.29  ,0.18
319 T 11.0 0.46 0.00  ,-9.48  ,-0.04 ,-0.38 ,0.18  ,-0.52 ,-0.08 ,-0.04 ,0.18  ,-0.16
320 T 11.0 0.46 19.70 ,-11.68 ,-0.06 ,-0.52 ,0.24  ,-0.41 ,-0.01 ,0.08  ,0.16  ,-0.19
321 T 11.0 0.46 39.39 ,-12.14 ,-0.09 ,-0.60 ,0.20  ,-0.18 ,0.04  ,0.33  ,0.18  ,-0.13
322 T 11.0 0.46 59.09 ,-12.53 ,-0.10 ,-0.53 ,0.04  ,-0.08 ,-0.02 ,0.51  ,0.29  ,0.04
323 T 11.0 0.46 78.78 ,-10.34 ,-0.08 ,-0.37 ,-0.06 ,-0.05 ,-0.07 ,0.50  ,0.33  ,0.17
324 T 11.0 0.46 90.00 ,-8.94  ,-0.08 ,-0.34 ,-0.07 ,-0.04 ,-0.08 ,0.48  ,0.33  ,0.18
325 T 11.0 0.64 0.00  ,-9.82  ,-0.03 ,-0.37 ,0.22  ,-0.50 ,-0.10 ,-0.15 ,0.15  ,-0.21
326 T 11.0 0.64 15.13 ,-12.40 ,-0.08 ,-0.57 ,0.38  ,0.20  ,0.19  ,0.10  ,-0.13 ,-0.26
327 T 11.0 0.64 30.27 ,-14.66 ,-0.10 ,-0.59 ,0.33  ,0.30  ,0.17  ,0.20  ,-0.11 ,-0.26
328 T 11.0 0.64 45.40 ,-14.03 ,-0.11 ,-0.60 ,0.22  ,0.33  ,0.06  ,0.32  ,0.01  ,-0.20
329 T 11.0 0.64 60.53 ,-12.37 ,-0.12 ,-0.53 ,0.05  ,0.29  ,-0.10 ,0.42  ,0.19  ,-0.02
330 T 11.0 0.64 75.67 ,-11.31 ,-0.10 ,-0.38 ,-0.07 ,0.21  ,-0.19 ,0.41  ,0.30  ,0.16
331 T 11.0 0.64 90.00 ,-8.63  ,-0.09 ,-0.31 ,-0.09 ,0.17  ,-0.20 ,0.37  ,0.30  ,0.19
332 T 11.0 0.87 0.00  ,-9.77  ,-0.03 ,-0.37 ,0.22  ,-0.49 ,-0.13 ,-0.20 ,0.09  ,-0.24
333 T 11.0 0.87 12.49 ,-11.83 ,-0.07 ,-0.59 ,0.37  ,-0.13 ,0.01  ,-0.10 ,-0.11 ,-0.34
334 T 11.0 0.87 24.99 ,-13.87 ,-0.09 ,-0.59 ,0.35  ,0.25  ,0.09  ,0.04  ,-0.22 ,-0.32
335 T 11.0 0.87 37.48 ,-14.89 ,-0.11 ,-0.59 ,0.27  ,0.38  ,0.02  ,0.12  ,-0.20 ,-0.29
336 T 11.0 0.87 49.98 ,-13.11 ,-0.12 ,-0.56 ,0.15  ,0.43  ,-0.13 ,0.18  ,-0.09 ,-0.19
337 T 11.0 0.87 62.47 ,-11.70 ,-0.12 ,-0.47 ,0.01  ,0.42  ,-0.30 ,0.23  ,0.08  ,0.01
338 T 11.0 0.87 74.96 ,-11.46 ,-0.10 ,-0.34 ,-0.08 ,0.34  ,-0.38 ,0.22  ,0.19  ,0.18
339 T 11.0 0.87 87.46 ,-8.62  ,-0.09 ,-0.26 ,-0.10 ,0.27  ,-0.36 ,0.19  ,0.20  ,0.23
340 T 11.0 0.87 90.00 ,-8.48  ,-0.09 ,-0.26 ,-0.10 ,0.27  ,-0.36 ,0.19  ,0.20  ,0.23
341 T 11.0 1.15 0.00  ,-8.99  ,-0.03 ,-0.35 ,0.18  ,-0.47 ,-0.19 ,-0.21 ,-0.02 ,-0.25
342 T 11.0 1.15 10.83 ,-10.58 ,-0.04 ,-0.41 ,0.20  ,-0.43 ,-0.19 ,-0.21 ,-0.06 ,-0.28
343 T 11.0 1.15 21.65 ,-11.97 ,-0.07 ,-0.52 ,0.24  ,-0.26 ,-0.19 ,-0.18 ,-0.18 ,-0.34
344 T 11.0 1.15 32.48 ,-11.67 ,-0.09 ,-0.55 ,0.22  ,-0.01 ,-0.22 ,-0.11 ,-0.25 ,-0.32
345 T 11.0 1.15 43.30 ,-11.13 ,-0.10 ,-0.52 ,0.14  ,0.19  ,-0.31 ,-0.06 ,-0.24 ,-0.23
346 T 11.0 1.15 54.13 ,-10.35 ,-0.11 ,-0.45 ,0.03  ,0.30  ,-0.43 ,-0.02 ,-0.16 ,-0.07
347 T 11.0 1.15 64.96 ,-10.86 ,-0.10 ,-0.37 ,-0.05 ,0.33  ,-0.54 ,-0.00 ,-0.05 ,0.12
348 T 11.0 1.15 75.78 ,-10.99 ,-0.09 ,-0.27 ,-0.10 ,0.30  ,-0.55 ,0.01  ,0.04  ,0.24
349 T 11.0 1.15 86.61 ,-8.55  ,-0.08 ,-0.21 ,-0.10 ,0.26  ,-0.50 ,0.01  ,0.06  ,0.27
350 T 11.0 1.15 90.00 ,-8.31  ,-0.07 ,-0.21 ,-0.10 ,0.26  ,-0.50 ,0.01  ,0.07  ,0.27
351 T 11.0 1.56 0.00  ,-6.70  ,-0.03 ,-0.29 ,0.10  ,-0.38 ,-0.24 ,-0.20 ,-0.14 ,-0.21
352 T 11.0 1.56 9.73  ,-7.99  ,-0.04 ,-0.31 ,0.10  ,-0.37 ,-0.26 ,-0.21 ,-0.17 ,-0.22
353 T 11.0 1.56 19.45 ,-10.30 ,-0.05 ,-0.36 ,0.10  ,-0.33 ,-0.30 ,-0.22 ,-0.22 ,-0.23
354 T 11.0 1.56 29.18 ,-10.92 ,-0.06 ,-0.39 ,0.09  ,-0.23 ,-0.37 ,-0.22 ,-0.28 ,-0.22
355 T 11.0 1.56 38.90 ,-10.12 ,-0.07 ,-0.39 ,0.05  ,-0.09 ,-0.45 ,-0.21 ,-0.31 ,-0.15
356 T 11.0 1.56 48.63 ,-9.46  ,-0.08 ,-0.36 ,0.00  ,0.04  ,-0.53 ,-0.19 ,-0.29 ,-0.04
357 T 11.0 1.56 58.35 ,-9.78  ,-0.08 ,-0.31 ,-0.05 ,0.14  ,-0.61 ,-0.18 ,-0.23 ,0.10
358 T 11.0 1.56 68.08 ,-10.98 ,-0.07 ,-0.25 ,-0.08 ,0.20  ,-0.64 ,-0.16 ,-0.16 ,0.22
359 T 11.0 1.56 77.81 ,-10.14 ,-0.06 ,-0.19 ,-0.09 ,0.20  ,-0.60 ,-0.14 ,-0.09 ,0.27
360 T 11.0 1.56 87.53 ,-8.30  ,-0.06 ,-0.16 ,-0.09 ,0.19  ,-0.55 ,-0.12 ,-0.06 ,0.28
361 T 11.0 1.56 90.00 ,-8.19  ,-0.06 ,-0.16 ,-0.09 ,0.19  ,-0.55 ,-0.12 ,-0.06 ,0.28
362 T 11.0 2.19 0.00  ,-4.13  ,-0.02 ,-0.19 ,0.03  ,-0.24 ,-0.25 ,-0.16 ,-0.21 ,-0.12
363 T 11.0 2.19 9.00  ,-4.96  ,-0.02 ,-0.20 ,0.02  ,-0.24 ,-0.26 ,-0.17 ,-0.22 ,-0.12
364 T 11.0 2.19 18.00 ,-6.84  ,-0.03 ,-0.21 ,0.02  ,-0.22 ,-0.30 ,-0.18 ,-0.24 ,-0.11
