base ,judge ,R    ,Y/X  ,θ     ,E                     ,ol1  ,ol2   ,ol3   ,ol4   ,ol5   ,ol6   ,ol7   ,ol8
 168 ,T     , 9.0 ,0.58 ,20.00 ,-61.47                ,0.22 ,0.45  ,-0.09 ,0.00  ,-0.14 ,-0.14 ,-0.01 ,0.23
 169 ,T     , 9.0 ,0.58 ,40.00 ,-68.86                ,0.30 ,0.57  ,-0.13 ,0.00  ,-0.13 ,-0.21 ,-0.06 ,0.24
 170 ,T     , 9.0 ,0.58 ,60.00 ,-77.66                ,0.40 ,0.71  ,-0.20 ,0.00  ,-0.09 ,-0.29 ,-0.15 ,0.20
 171 ,T     , 9.0 ,0.58 ,80.00 ,-79.30                ,0.43 ,0.73  ,-0.22 ,0.00  ,-0.04 ,-0.32 ,-0.21 ,0.14
 172 ,T     , 9.0 ,0.58 ,90.00 ,-78.76                ,0.43 ,0.72  ,-0.22 ,0.00  ,-0.03 ,-0.32 ,-0.21 ,0.13
 173 ,T     , 9.0 ,0.84 , 0.00 ,-66.98                ,0.02 ,0.25  ,0.45  ,0.00  ,0.40  ,-0.23 ,0.18  ,-0.43
 174 ,T     , 9.0 ,0.84 ,15.56 ,-69.67                ,0.10 ,0.48  ,0.43  ,0.00  ,0.33  ,-0.41 ,0.29  ,-0.09
 175 ,T     , 9.0 ,0.84 ,31.11 ,-71.95                ,0.26 ,0.66  ,0.07  ,0.00  ,0.02  ,-0.38 ,0.11  ,0.25
 176 ,T     , 9.0 ,0.84 ,46.67 ,-76.03                ,0.38 ,0.69  ,-0.18 ,0.00  ,-0.10 ,-0.27 ,-0.14 ,0.21
 177 ,T     , 9.0 ,0.84 ,62.23 ,-79.06                ,0.45 ,0.67  ,-0.32 ,-0.00 ,-0.12 ,-0.20 ,-0.31 ,0.09
 178 ,T     , 9.0 ,0.84 ,77.79 ,-77.29                ,0.44 ,0.59  ,-0.35 ,-0.00 ,-0.09 ,-0.15 ,-0.38 ,-0.01
 179 ,T     , 9.0 ,0.84 ,90.00 ,-75.80                ,0.43 ,0.56  ,-0.34 ,-0.00 ,-0.08 ,-0.13 ,-0.39 ,-0.03
 180 ,T     , 9.0 ,1.19 , 0.00 ,-71.74                ,0.02 ,0.26  ,0.47  ,0.00  ,0.42  ,-0.26 ,0.21  ,-0.46
 181 ,T     , 9.0 ,1.19 ,13.05 ,-73.51                ,0.04 ,0.34  ,0.49  ,0.00  ,0.43  ,-0.34 ,0.26  ,-0.39
 182 ,T     , 9.0 ,1.19 ,26.11 ,-75.44                ,0.11 ,0.51  ,0.44  ,0.00  ,0.37  ,-0.47 ,0.31  ,-0.13
 183 ,T     , 9.0 ,1.19 ,39.16 ,-76.13                ,0.23 ,0.66  ,0.21  ,0.00  ,0.19  ,-0.51 ,0.20  ,0.13
 184 ,T     , 9.0 ,1.19 ,52.22 ,-77.75                ,0.37 ,0.74  ,-0.07 ,0.00  ,0.03  ,-0.42 ,-0.05 ,0.19
 185 ,T     , 9.0 ,1.19 ,65.27 ,-79.12                ,0.45 ,0.70  ,-0.27 ,-0.00 ,-0.06 ,-0.27 ,-0.27 ,0.09
 186 ,T     , 9.0 ,1.19 ,78.32 ,-77.21                ,0.44 ,0.60  ,-0.34 ,-0.00 ,-0.08 ,-0.16 ,-0.37 ,-0.00
 187 ,T     , 9.0 ,1.19 ,90.00 ,-75.79                ,0.43 ,0.56  ,-0.35 ,-0.00 ,-0.08 ,-0.13 ,-0.39 ,-0.03
 188 ,T     , 9.0 ,1.73 , 0.00 ,-71.03                ,0.02 ,0.26  ,0.46  ,0.00  ,0.42  ,-0.27 ,0.21  ,-0.46
 189 ,T     , 9.0 ,1.73 ,11.55 ,-72.03                ,0.03 ,0.29  ,0.47  ,0.00  ,0.43  ,-0.30 ,0.24  ,-0.43
 190 ,T     , 9.0 ,1.73 ,23.09 ,-73.90                ,0.05 ,0.39  ,0.48  ,0.00  ,0.42  ,-0.40 ,0.29  ,-0.32
 191 ,T     , 9.0 ,1.73 ,34.64 ,-74.82                ,0.12 ,0.52  ,0.41  ,0.00  ,0.36  ,-0.49 ,0.30  ,-0.11
 192 ,T     , 9.0 ,1.73 ,46.19 ,-75.46                ,0.22 ,0.64  ,0.23  ,0.00  ,0.22  ,-0.51 ,0.22  ,0.10
 193 ,T     , 9.0 ,1.73 ,57.74 ,-77.36                ,0.34 ,0.73  ,0.00  ,0.00  ,0.07  ,-0.45 ,0.03  ,0.20
 194 ,T     , 9.0 ,1.73 ,69.28 ,-79.57                ,0.42 ,0.74  ,-0.20 ,0.00  ,-0.05 ,-0.33 ,-0.17 ,0.17
 195 ,T     , 9.0 ,1.73 ,80.83 ,-79.26                ,0.45 ,0.68  ,-0.30 ,-0.00 ,-0.11 ,-0.22 ,-0.29 ,0.11
 196 ,T     , 9.0 ,1.73 ,90.00 ,-78.73                ,0.45 ,0.66  ,-0.32 ,-0.00 ,-0.12 ,-0.19 ,-0.31 ,0.09
 197 ,T     , 9.0 ,2.75 , 0.00 ,-71.74                ,0.02 ,0.26  ,0.47  ,0.00  ,0.42  ,-0.26 ,0.21  ,-0.46
 198 ,T     , 9.0 ,2.75 ,10.64 ,-72.30                ,0.02 ,0.28  ,0.48  ,0.00  ,0.43  ,-0.28 ,0.22  ,-0.44
 199 ,T     , 9.0 ,2.75 ,21.28 ,-73.61                ,0.04 ,0.35  ,0.49  ,0.00  ,0.43  ,-0.35 ,0.26  ,-0.37
 200 ,T     , 9.0 ,2.75 ,31.93 ,-74.66                ,0.08 ,0.45  ,0.48  ,0.00  ,0.40  ,-0.43 ,0.30  ,-0.22
 201 ,T     , 9.0 ,2.75 ,42.57 ,-74.74                ,0.14 ,0.56  ,0.39  ,0.00  ,0.31  ,-0.48 ,0.30  ,-0.02
 202 ,T     , 9.0 ,2.75 ,53.21 ,-74.47                ,0.22 ,0.66  ,0.21  ,0.00  ,0.16  ,-0.47 ,0.21  ,0.17
 203 ,T     , 9.0 ,2.75 ,63.85 ,-73.98                ,0.30 ,0.69  ,0.02  ,0.00  ,0.00  ,-0.38 ,0.07  ,0.26
 204 ,T     , 9.0 ,2.75 ,74.49 ,-72.43                ,0.33 ,0.64  ,-0.13 ,0.00  ,-0.11 ,-0.26 ,-0.06 ,0.24
 205 ,T     , 9.0 ,2.75 ,85.13 ,-70.99                ,0.33 ,0.59  ,-0.18 ,0.00  ,-0.15 ,-0.19 ,-0.13 ,0.21
 206 ,T     , 9.0 ,2.75 ,90.00 ,-70.80                ,0.33 ,0.58  ,-0.19 ,0.00  ,-0.15 ,-0.19 ,-0.13 ,0.21
 207 ,T     , 9.0 ,5.67 , 0.00 ,-66.98                ,0.02 ,0.25  ,0.45  ,0.00  ,0.40  ,-0.23 ,0.18  ,-0.43
 208 ,T     , 9.0 ,5.67 ,10.15 ,-67.30                ,0.02 ,0.27  ,0.46  ,0.00  ,0.41  ,-0.25 ,0.19  ,-0.41
 209 ,T     , 9.0 ,5.67 ,20.31 ,-68.05                ,0.03 ,0.32  ,0.47  ,0.00  ,0.41  ,-0.29 ,0.23  ,-0.36
 210 ,T     , 9.0 ,5.67 ,30.46 ,-68.45                ,0.06 ,0.39  ,0.47  ,0.00  ,0.39  ,-0.35 ,0.26  ,-0.24
 211 ,T     , 9.0 ,5.67 ,40.62 ,-67.60                ,0.10 ,0.48  ,0.41  ,0.00  ,0.31  ,-0.39 ,0.28  ,-0.06
 212 ,T     , 9.0 ,5.67 ,50.77 ,-66.22                ,0.15 ,0.54  ,0.28  ,0.00  ,0.18  ,-0.39 ,0.24  ,0.12
 213 ,T     , 9.0 ,5.67 ,60.93 ,-65.18                ,0.20 ,0.57  ,0.12  ,0.00  ,0.03  ,-0.32 ,0.16  ,0.24
 214 ,T     , 9.0 ,5.67 ,71.08 ,-63.85                ,0.23 ,0.53  ,-0.01 ,0.00  ,-0.08 ,-0.23 ,0.06  ,0.26
 215 ,T     , 9.0 ,5.67 ,81.23 ,-62.60                ,0.23 ,0.47  ,-0.08 ,0.00  ,-0.14 ,-0.16 ,-0.00 ,0.24
 216 ,T     , 9.0 ,5.67 ,90.00 ,-62.21                ,0.23 ,0.46  ,-0.10 ,0.00  ,-0.15 ,-0.14 ,-0.02 ,0.23
 217 ,T     ,10.0 ,0.00 , 0.00 ,-70.98                ,0.02 ,0.27  ,0.53  ,0.00  ,0.45  ,-0.13 ,0.06  ,-0.42
 218 ,T     ,10.0 ,0.16 , 0.00 ,-72.31                ,0.02 ,0.28  ,0.55  ,0.00  ,0.46  ,-0.12 ,0.05  ,-0.42
 219 ,T     ,10.0 ,0.16 ,57.53 ,-74.24                ,0.03 ,0.36  ,0.59  ,0.00  ,0.46  ,-0.19 ,0.11  ,-0.35
 220 ,T     ,10.0 ,0.16 ,90.00 ,-74.06                ,0.04 ,0.38  ,0.59  ,0.00  ,0.45  ,-0.21 ,0.13  ,-0.32
 221 ,T     ,10.0 ,0.32 , 0.00 ,-66.23                ,0.01 ,0.26  ,0.51  ,0.00  ,0.42  ,-0.08 ,0.02  ,-0.36
 222 ,T     ,10.0 ,0.32 ,29.12 ,-71.72                ,0.05 ,0.45  ,0.59  ,0.00  ,0.38  ,-0.19 ,0.15  ,-0.16
 223 ,T     ,10.0 ,0.32 ,58.25 ,-75.89                ,0.10 ,0.60  ,0.52  ,0.00  ,0.26  ,-0.32 ,0.22  ,0.02
 224 ,T     ,10.0 ,0.32 ,90.00 ,-74.25                ,0.12 ,0.61  ,0.46  ,0.00  ,0.22  ,-0.35 ,0.19  ,0.03
 225 ,T     ,10.0 ,0.51 , 0.00 ,-59.28                ,0.01 ,0.23  ,0.45  ,0.00  ,0.37  ,-0.06 ,0.00  ,-0.31
 226 ,T     ,10.0 ,0.51 ,19.82 ,-62.16                ,0.11 ,0.48  ,0.18  ,0.00  ,-0.15 ,-0.10 ,0.18  ,0.28
 227 ,T     ,10.0 ,0.51 ,39.65 ,-68.70                ,0.16 ,0.58  ,0.11  ,0.00  ,-0.22 ,-0.15 ,0.12  ,0.27
 228 ,T     ,10.0 ,0.51 ,59.47 ,-75.94                ,0.23 ,0.75  ,0.09  ,0.00  ,-0.23 ,-0.27 ,0.02  ,0.21
 229 ,T     ,10.0 ,0.51 ,79.30 ,-75.91                ,0.25 ,0.76  ,0.06  ,0.00  ,-0.17 ,-0.33 ,-0.07 ,0.12
 230 ,T     ,10.0 ,0.51 ,90.00 ,-74.87                ,0.25 ,0.75  ,0.06  ,0.00  ,-0.16 ,-0.33 ,-0.08 ,0.10
 231 ,T     ,10.0 ,0.73 , 0.00 ,-60.84                ,0.01 ,0.23  ,0.46  ,0.00  ,0.38  ,-0.06 ,0.00  ,-0.32
 232 ,T     ,10.0 ,0.73 ,15.31 ,-62.88                ,0.09 ,0.49  ,0.35  ,0.00  ,0.05  ,-0.15 ,0.20  ,0.19
 233 ,T     ,10.0 ,0.73 ,30.62 ,-66.59                ,0.15 ,0.52  ,0.07  ,0.00  ,-0.26 ,-0.11 ,0.11  ,0.26
 234 ,T     ,10.0 ,0.73 ,45.94 ,-70.74                ,0.21 ,0.59  ,-0.06 ,0.00  ,-0.34 ,-0.13 ,-0.04 ,0.17
 235 ,T     ,10.0 ,0.73 ,61.25 ,-75.27                ,0.27 ,0.68  ,-0.16 ,0.00  ,-0.36 ,-0.18 ,-0.23 ,0.04
 236 ,T     ,10.0 ,0.73 ,76.56 ,-76.74                ,0.30 ,0.67  ,-0.21 ,0.00  ,-0.32 ,-0.20 ,-0.37 ,-0.09
 237 ,T     ,10.0 ,0.73 ,90.00 ,-75.32                ,0.29 ,0.64  ,-0.21 ,0.00  ,-0.29 ,-0.20 ,-0.39 ,-0.13
 238 ,T     ,10.0 ,1.00 , 0.00 ,-69.20                ,0.02 ,0.27  ,0.53  ,0.00  ,0.44  ,-0.10 ,0.03  ,-0.39
 239 ,T     ,10.0 ,1.00 ,12.73 ,-71.89                ,0.03 ,0.37  ,0.59  ,0.00  ,0.44  ,-0.16 ,0.10  ,-0.28
 240 ,T     ,10.0 ,1.00 ,25.46 ,-73.68                ,0.10 ,0.57  ,0.52  ,0.00  ,0.24  ,-0.27 ,0.22  ,0.04
 241 ,T     ,10.0 ,1.00 ,38.18 ,-75.50                ,0.18 ,0.72  ,0.28  ,0.00  ,-0.05 ,-0.31 ,0.15  ,0.22
 242 ,T     ,10.0 ,1.00 ,50.91 ,-77.43                ,0.26 ,0.77  ,0.01  ,0.00  ,-0.26 ,-0.29 ,-0.09 ,0.14
 243 ,T     ,10.0 ,1.00 ,63.64 ,-77.54                ,0.30 ,0.72  ,-0.17 ,0.00  ,-0.32 ,-0.23 ,-0.32 ,-0.04
 244 ,T     ,10.0 ,1.00 ,76.37 ,-73.97                ,0.28 ,0.59  ,-0.23 ,0.00  ,-0.29 ,-0.17 ,-0.41 ,-0.16
 245 ,T     ,10.0 ,1.00 ,90.00 ,-71.05                ,0.26 ,0.53  ,-0.24 ,0.00  ,-0.26 ,-0.14 ,-0.42 ,-0.20
 246 ,T     ,10.0 ,1.38 , 0.00 ,-72.02                ,0.02 ,0.28  ,0.54  ,0.00  ,0.46  ,-0.13 ,0.05  ,-0.42
 247 ,T     ,10.0 ,1.38 ,11.12 ,-73.41                ,0.02 ,0.32  ,0.57  ,0.00  ,0.46  ,-0.16 ,0.08  ,-0.39
 248 ,T     ,10.0 ,1.38 ,22.25 ,-75.31                ,0.05 ,0.44  ,0.61  ,0.00  ,0.44  ,-0.24 ,0.16  ,-0.26
 249 ,T     ,10.0 ,1.38 ,33.37 ,-75.07                ,0.10 ,0.57  ,0.53  ,0.00  ,0.30  ,-0.33 ,0.21  ,-0.04
 250 ,T     ,10.0 ,1.38 ,44.50 ,-74.22                ,0.16 ,0.67  ,0.34  ,0.00  ,0.08  ,-0.36 ,0.14  ,0.11
 251 ,T     ,10.0 ,1.38 ,55.62 ,-74.51                ,0.23 ,0.74  ,0.11  ,0.00  ,-0.12 ,-0.35 ,-0.03 ,0.12
 252 ,T     ,10.0 ,1.38 ,66.75 ,-76.45                ,0.29 ,0.74  ,-0.09 ,0.00  ,-0.26 ,-0.28 ,-0.24 ,0.01
 253 ,T     ,10.0 ,1.38 ,77.87 ,-76.57                ,0.30 ,0.67  ,-0.20 ,0.00  ,-0.31 ,-0.21 ,-0.37 ,-0.10
 254 ,T     ,10.0 ,1.38 ,90.00 ,-75.34                ,0.29 ,0.63  ,-0.23 ,0.00  ,-0.31 ,-0.17 ,-0.40 ,-0.14
 255 ,T     ,10.0 ,1.96 , 0.00 ,-71.32                ,0.02 ,0.28  ,0.54  ,0.00  ,0.45  ,-0.13 ,0.06  ,-0.42
 256 ,T     ,10.0 ,1.96 ,10.10 ,-72.26                ,0.02 ,0.30  ,0.55  ,0.00  ,0.46  ,-0.15 ,0.07  ,-0.41
 257 ,T     ,10.0 ,1.96 ,20.20 ,-74.21                ,0.03 ,0.37  ,0.59  ,0.00  ,0.46  ,-0.20 ,0.12  ,-0.34
 258 ,T     ,10.0 ,1.96 ,30.30 ,-75.43                ,0.06 ,0.48  ,0.60  ,0.00  ,0.41  ,-0.27 ,0.18  ,-0.20
 259 ,T     ,10.0 ,1.96 ,40.40 ,-75.58                ,0.10 ,0.59  ,0.52  ,0.00  ,0.28  ,-0.33 ,0.21  ,-0.01
 260 ,T     ,10.0 ,1.96 ,50.50 ,-75.78                ,0.16 ,0.69  ,0.37  ,0.00  ,0.08  ,-0.35 ,0.17  ,0.14
 261 ,T     ,10.0 ,1.96 ,60.61 ,-76.62                ,0.22 ,0.76  ,0.17  ,0.00  ,-0.13 ,-0.33 ,0.05  ,0.19
 262 ,T     ,10.0 ,1.96 ,70.71 ,-76.89                ,0.26 ,0.76  ,-0.01 ,0.00  ,-0.29 ,-0.26 ,-0.08 ,0.15
 263 ,T     ,10.0 ,1.96 ,80.81 ,-75.30                ,0.27 ,0.69  ,-0.11 ,0.00  ,-0.35 ,-0.19 ,-0.17 ,0.09
 264 ,T     ,10.0 ,1.96 ,90.00 ,-74.37                ,0.26 ,0.67  ,-0.14 ,0.00  ,-0.36 ,-0.17 ,-0.20 ,0.07
 265 ,T     ,10.0 ,3.08 , 0.00 ,-71.41                ,0.02 ,0.28  ,0.54  ,0.00  ,0.45  ,-0.11 ,0.04  ,-0.41
 266 ,T     ,10.0 ,3.08 , 9.46 ,-71.85                ,0.02 ,0.29  ,0.56  ,0.00  ,0.46  ,-0.12 ,0.05  ,-0.40
 267 ,T     ,10.0 ,3.08 ,18.93 ,-72.88                ,0.03 ,0.34  ,0.59  ,0.00  ,0.46  ,-0.15 ,0.08  ,-0.34
 268 ,T     ,10.0 ,3.08 ,28.39 ,-73.64                ,0.04 ,0.42  ,0.61  ,0.00  ,0.43  ,-0.19 ,0.14  ,-0.24
 269 ,T     ,10.0 ,3.08 ,37.85 ,-73.26                ,0.07 ,0.51  ,0.57  ,0.00  ,0.33  ,-0.24 ,0.19  ,-0.07
 270 ,T     ,10.0 ,3.08 ,47.32 ,-72.08                ,0.11 ,0.59  ,0.47  ,0.00  ,0.17  ,-0.25 ,0.22  ,0.11
 271 ,T     ,10.0 ,3.08 ,56.78 ,-71.12                ,0.14 ,0.63  ,0.32  ,0.00  ,-0.03 ,-0.24 ,0.20  ,0.24
 272 ,T     ,10.0 ,3.08 ,66.24 ,-70.23                ,0.17 ,0.62  ,0.15  ,0.00  ,-0.20 ,-0.18 ,0.13  ,0.27
 273 ,T     ,10.0 ,3.08 ,75.71 ,-68.87                ,0.17 ,0.56  ,0.03  ,0.00  ,-0.29 ,-0.13 ,0.07  ,0.24
 274 ,T     ,10.0 ,3.08 ,85.17 ,-67.77                ,0.17 ,0.52  ,-0.02 ,0.00  ,-0.31 ,-0.09 ,0.03  ,0.21
 275 ,T     ,10.0 ,3.08 ,90.00 ,-67.61                ,0.17 ,0.51  ,-0.03 ,0.00  ,-0.32 ,-0.09 ,0.02  ,0.21
 276 ,T     ,10.0 ,6.31 , 0.00 ,-63.26                ,0.01 ,0.24  ,0.48  ,0.00  ,0.40  ,-0.07 ,0.01  ,-0.34
 277 ,T     ,10.0 ,6.31 , 9.11 ,-63.51                ,0.02 ,0.26  ,0.49  ,0.00  ,0.40  ,-0.08 ,0.02  ,-0.33
 278 ,T     ,10.0 ,6.31 ,18.22 ,-64.13                ,0.02 ,0.29  ,0.51  ,0.00  ,0.40  ,-0.09 ,0.04  ,-0.29
 279 ,T     ,10.0 ,6.31 ,27.34 ,-64.64                ,0.03 ,0.35  ,0.53  ,0.00  ,0.37  ,-0.12 ,0.09  ,-0.20
 280 ,T     ,10.0 ,6.31 ,36.45 ,-64.31                ,0.05 ,0.41  ,0.51  ,0.00  ,0.30  ,-0.14 ,0.14  ,-0.07
 281 ,T     ,10.0 ,6.31 ,45.56 ,-63.29                ,0.07 ,0.46  ,0.44  ,0.00  ,0.17  ,-0.15 ,0.19  ,0.09
 282 ,T     ,10.0 ,6.31 ,54.67 ,-62.64                ,0.09 ,0.49  ,0.32  ,0.00  ,0.01  ,-0.14 ,0.20  ,0.21
 283 ,T     ,10.0 ,6.31 ,63.79 ,-62.35                ,0.11 ,0.48  ,0.20  ,0.00  ,-0.13 ,-0.11 ,0.19  ,0.27
 284 ,T     ,10.0 ,6.31 ,72.90 ,-61.64                ,0.12 ,0.44  ,0.09  ,0.00  ,-0.22 ,-0.07 ,0.15  ,0.27
 285 ,T     ,10.0 ,6.31 ,82.01 ,-60.84                ,0.11 ,0.40  ,0.03  ,0.00  ,-0.26 ,-0.04 ,0.12  ,0.24
 286 ,T     ,10.0 ,6.31 ,90.00 ,-60.57                ,0.11 ,0.38  ,0.02  ,0.00  ,-0.26 ,-0.04 ,0.11  ,0.23
 287 ,T     ,11.0 ,0.00 , 0.00 ,-69.76                ,0.01 ,0.26  ,0.56  ,0.00  ,0.44  ,0.05  ,-0.14 ,-0.31
 288 ,T     ,11.0 ,0.14 , 0.00 ,-71.89                ,0.01 ,0.27  ,0.58  ,0.00  ,0.45  ,0.07  ,-0.17 ,-0.31
 289 ,T     ,11.0 ,0.14 ,57.49 ,-73.50                ,0.02 ,0.34  ,0.63  ,0.00  ,0.45  ,0.04  ,-0.11 ,-0.26
 290 ,T     ,11.0 ,0.14 ,90.00 ,-73.11                ,0.02 ,0.35  ,0.64  ,0.00  ,0.44  ,0.02  ,-0.09 ,-0.24
 291 ,T     ,11.0 ,0.29 , 0.00 ,-66.04                ,0.01 ,0.24  ,0.52  ,0.00  ,0.40  ,0.10  ,-0.18 ,-0.24
 292 ,T     ,11.0 ,0.29 ,29.04 ,-71.59                ,0.03 ,0.38  ,0.64  ,0.00  ,0.39  ,0.08  ,-0.08 ,-0.10
 293 ,T     ,11.0 ,0.29 ,58.08 ,-75.68                ,0.06 ,0.53  ,0.67  ,0.00  ,0.28  ,-0.01 ,0.06  ,0.03
 294 ,T     ,11.0 ,0.29 ,90.00 ,-73.26                ,0.06 ,0.53  ,0.61  ,0.00  ,0.23  ,-0.07 ,0.07  ,0.02
 295 ,T     ,11.0 ,0.46 , 0.00 ,-58.18                ,0.01 ,0.19  ,0.42  ,0.00  ,0.32  ,0.10  ,-0.17 ,-0.17
 296 ,T     ,11.0 ,0.46 ,19.70 ,-62.38                ,0.05 ,0.40  ,0.42  ,0.00  ,0.01  ,0.10  ,0.15  ,0.24
 297 ,T     ,11.0 ,0.46 ,39.39 ,-69.02                ,0.08 ,0.53  ,0.35  ,0.00  ,-0.20 ,0.06  ,0.24  ,0.31
 298 ,T     ,11.0 ,0.46 ,59.09 ,-74.70                ,0.12 ,0.68  ,0.36  ,0.00  ,-0.26 ,-0.04 ,0.18  ,0.23
 299 ,T     ,11.0 ,0.46 ,78.78 ,-73.37                ,0.13 ,0.68  ,0.32  ,0.00  ,-0.22 ,-0.12 ,0.07  ,0.10
 300 ,T     ,11.0 ,0.46 ,90.00 ,-71.98                ,0.13 ,0.66  ,0.31  ,0.00  ,-0.20 ,-0.14 ,0.04  ,0.08
 301 ,T     ,11.0 ,0.64 , 0.00 ,-56.86                ,0.01 ,0.19  ,0.41  ,0.00  ,0.31  ,0.10  ,-0.16 ,-0.16
 302 ,T     ,11.0 ,0.64 ,15.13 ,-60.48                ,0.05 ,0.34  ,0.17  ,0.00  ,-0.27 ,0.10  ,0.26  ,0.29
 303 ,T     ,11.0 ,0.64 ,30.27 ,-64.62                ,0.07 ,0.36  ,0.09  ,0.00  ,-0.37 ,0.08  ,0.24  ,0.24
 304 ,T     ,11.0 ,0.64 ,45.40 ,-69.34                ,0.10 ,0.47  ,0.07  ,0.00  ,-0.46 ,0.05  ,0.17  ,0.17
 305 ,T     ,11.0 ,0.64 ,60.53 ,-73.54                ,0.15 ,0.63  ,0.04  ,0.00  ,-0.54 ,-0.03 ,0.01  ,0.01
 306 ,T     ,11.0 ,0.64 ,75.67 ,-75.92                ,0.18 ,0.68  ,0.00  ,0.00  ,-0.52 ,-0.11 ,-0.18 ,-0.17
 307 ,T     ,11.0 ,0.64 ,90.00 ,-74.02                ,0.18 ,0.65  ,-0.01 ,0.00  ,-0.47 ,-0.13 ,-0.23 ,-0.23
 308 ,T     ,11.0 ,0.87 , 0.00 ,-62.97                ,0.01 ,0.22  ,0.48  ,0.00  ,0.37  ,0.10  ,-0.18 ,-0.21
 309 ,T     ,11.0 ,0.87 ,12.49 ,-66.17                ,0.03 ,0.35  ,0.57  ,0.00  ,0.31  ,0.10  ,-0.06 ,-0.04
 310 ,T     ,11.0 ,0.87 ,24.99 ,-68.45                ,0.07 ,0.51  ,0.47  ,0.00  ,-0.03 ,0.06  ,0.19  ,0.26
 311 ,T     ,11.0 ,0.87 ,37.48 ,-72.12                ,0.11 ,0.60  ,0.27  ,0.00  ,-0.34 ,0.02  ,0.22  ,0.27
 312 ,T     ,11.0 ,0.87 ,49.98 ,-74.09                ,0.15 ,0.65  ,0.10  ,0.00  ,-0.51 ,-0.03 ,0.07  ,0.08
 313 ,T     ,11.0 ,0.87 ,62.47 ,-74.72                ,0.17 ,0.64  ,-0.04 ,0.00  ,-0.56 ,-0.07 ,-0.16 ,-0.17
 314 ,T     ,11.0 ,0.87 ,74.96 ,-73.23                ,0.17 ,0.56  ,-0.10 ,0.00  ,-0.49 ,-0.09 ,-0.32 ,-0.34
 315 ,T     ,11.0 ,0.87 ,87.46 ,-70.16                ,0.15 ,0.49  ,-0.12 ,0.00  ,-0.42 ,-0.09 ,-0.35 ,-0.38
 316 ,T     ,11.0 ,0.87 ,90.00 ,-70.03                ,0.15 ,0.48  ,-0.12 ,0.00  ,-0.42 ,-0.09 ,-0.35 ,-0.38
 317 ,T     ,11.0 ,1.15 , 0.00 ,-71.19                ,0.01 ,0.27  ,0.58  ,0.00  ,0.45  ,0.08  ,-0.17 ,-0.29
 318 ,T     ,11.0 ,1.15 ,10.83 ,-73.19                ,0.02 ,0.32  ,0.63  ,0.00  ,0.45  ,0.07  ,-0.14 ,-0.25
 319 ,T     ,11.0 ,1.15 ,21.65 ,-75.46                ,0.04 ,0.46  ,0.69  ,0.00  ,0.38  ,0.03  ,-0.02 ,-0.07
 320 ,T     ,11.0 ,1.15 ,32.48 ,-75.32                ,0.07 ,0.59  ,0.61  ,0.00  ,0.14  ,-0.04 ,0.12  ,0.12
 321 ,T     ,11.0 ,1.15 ,43.30 ,-74.69                ,0.12 ,0.68  ,0.41  ,0.00  ,-0.14 ,-0.10 ,0.12  ,0.16
 322 ,T     ,11.0 ,1.15 ,54.13 ,-74.18                ,0.16 ,0.71  ,0.19  ,0.00  ,-0.37 ,-0.13 ,-0.01 ,0.02
 323 ,T     ,11.0 ,1.15 ,64.96 ,-74.38                ,0.18 ,0.67  ,0.01  ,0.00  ,-0.48 ,-0.13 ,-0.21 ,-0.20
 324 ,T     ,11.0 ,1.15 ,75.78 ,-72.93                ,0.17 ,0.56  ,-0.09 ,0.00  ,-0.47 ,-0.11 ,-0.32 ,-0.34
 325 ,T     ,11.0 ,1.15 ,86.61 ,-70.26                ,0.15 ,0.49  ,-0.12 ,0.00  ,-0.43 ,-0.09 ,-0.35 ,-0.38
 326 ,T     ,11.0 ,1.15 ,90.00 ,-70.03                ,0.15 ,0.48  ,-0.12 ,0.00  ,-0.42 ,-0.09 ,-0.35 ,-0.38
 327 ,T     ,11.0 ,1.56 , 0.00 ,-70.23                ,0.01 ,0.27  ,0.56  ,0.00  ,0.44  ,0.05  ,-0.15 ,-0.31
 328 ,T     ,11.0 ,1.56 , 9.73 ,-71.49                ,0.02 ,0.29  ,0.59  ,0.00  ,0.45  ,0.04  ,-0.13 ,-0.30
 329 ,T     ,11.0 ,1.56 ,19.45 ,-73.63                ,0.03 ,0.37  ,0.65  ,0.00  ,0.44  ,0.02  ,-0.08 ,-0.22
 330 ,T     ,11.0 ,1.56 ,29.18 ,-73.96                ,0.04 ,0.46  ,0.66  ,0.00  ,0.35  ,-0.03 ,0.01  ,-0.09
 331 ,T     ,11.0 ,1.56 ,38.90 ,-73.02                ,0.07 ,0.55  ,0.58  ,0.00  ,0.18  ,-0.08 ,0.09  ,0.05
 332 ,T     ,11.0 ,1.56 ,48.63 ,-72.43                ,0.10 ,0.62  ,0.43  ,0.00  ,-0.05 ,-0.12 ,0.10  ,0.11
 333 ,T     ,11.0 ,1.56 ,58.35 ,-73.08                ,0.14 ,0.69  ,0.26  ,0.00  ,-0.28 ,-0.13 ,0.03  ,0.06
 334 ,T     ,11.0 ,1.56 ,68.08 ,-75.24                ,0.17 ,0.71  ,0.09  ,0.00  ,-0.46 ,-0.12 ,-0.09 ,-0.07
 335 ,T     ,11.0 ,1.56 ,77.81 ,-75.79                ,0.18 ,0.67  ,-0.02 ,0.00  ,-0.54 ,-0.10 ,-0.19 ,-0.20
